시도,시군구,설치장소,도로명주소,위도,경도
전라남도,목포시,목포시보건소,전라남도 목포시 원산로 45번길 5,,
전라남도,목포시,하당보건지소,전라남도 목포시 석현로 48,,
전라남도,목포시,목포산정약국,"전라남도 목포시 양을로 151, 1층 (산정동)",,
전라남도,목포시,이로약국,"전라남도 목포시 송림로 73, 2층 (용해동)",,
전라남도,목포시,포도나무약국,"전라남도 목포시 비파로 106, 삼성전자사옥 1층 (상동)",,
전라남도,목포시,다온약국,"전라남도 목포시 용당로 211, 1층 (용당동)",,
전라남도,목포시,보라약국,"전라남도 목포시 백년대로 258, 1층 (상동)",,
전라남도,목포시,대진약국,"전라남도 목포시 용당로 281, 종원빌딩 (용해동)",,
전라남도,목포시,수약국,"전라남도 목포시 원형서로 15, 롯데마트목포점 (상동)",,
전라남도,목포시,대림약국,"전라남도 목포시 산대로2번길 2, 1층 (산정동)",,
전라남도,목포시,오약국,"전라남도 목포시 청호로 193, 1층 (산정동)",,
전라남도,목포시,가나약국,"전라남도 목포시 영산로 343, 1층 (용당동)",,
전라남도,목포시,든든약국,"전라남도 목포시 죽산로40번길 7, 1층 (산정동)",,
전라남도,목포시,한독약국,"전라남도 목포시 백년대로 327, 목포복음내과 (상동)",,
전라남도,목포시,미소약국,전라남도 목포시 이로로 12 (용해동),,
전라남도,목포시,건강샘약국,전라남도 목포시 신흥로 44 (상동),,
전라남도,목포시,약손약국,"전라남도 목포시 상동로 66, 주공3단지아파트 상가동 115호 (상동)",,
전라남도,목포시,사랑약국,전라남도 목포시 고하대로 795-1 (연산동),,
전라남도,목포시,한마음약국,전라남도 목포시 백년대로 331-1 (상동),,
전라남도,목포시,백세가약국,전라남도 목포시 영산로 477 (상동),,
전라남도,목포시,시장약국,전라남도 목포시 용당로 57 (산정동),,
전라남도,목포시,백세약국,"전라남도 목포시 영산로 253, 1층 (용당동)",,
전라남도,목포시,우리힐약국,전라남도 목포시 옥암로 77-1 (옥암동),,
전라남도,목포시,부주약국,전라남도 목포시 남악1로52번가길 3 (옥암동),,
전라남도,목포시,다나약국,전라남도 목포시 용당로 322-3 (용해동),,
전라남도,목포시,연산약국,전라남도 목포시 원산중앙로 89 (연산동),,
전라남도,목포시,메디팜우성약국,전라남도 목포시 백년대로297번길 7 (상동),,
전라남도,목포시,휴베이스 최약국,"전라남도 목포시 삼학로16번길 6, 1층 (상락동2가)",,
전라남도,목포시,대인약국,전라남도 목포시 원산중앙로 96 (연산동),,
전라남도,목포시,열린약국,"전라남도 목포시 옥암로 147, 1층 (상동)",,
전라남도,목포시,복음사랑약국,전라남도 목포시 백년대로297번길 8 (상동),,
전라남도,목포시,삼일온누리약국,전라남도 목포시 삼학로 20 (호남동),,
전라남도,목포시,신세계 온누리 약국,전라남도 목포시 백년대로 298 (상동),,
전라남도,목포시,한별약국,"전라남도 목포시 청호로 206, 1층 101호 (산정동, 신안비치팔레스)",,
전라남도,목포시,센트럴약국,전라남도 목포시 백년대로 304 (상동),,
전라남도,목포시,행복한약국,전라남도 목포시 백년대로 325 (상동),,
전라남도,목포시,다나은약국,"전라남도 목포시 이로로9번길 6 (용해동, 바른학원)",,
전라남도,목포시,대학약국,"전라남도 목포시 영산로 627, 2동 (석현동)",,
전라남도,목포시,알파약국,전라남도 목포시 청호로130번길 2 (산정동),,
전라남도,목포시,조제약국,전라남도 목포시 호남로58번길 28 (창평동),,
전라남도,목포시,전일약국,전라남도 목포시 청호로 153 (산정동),,
전라남도,목포시,비타민약국,전라남도 목포시 하당로 278 (옥암동),,
전라남도,목포시,조은약국,"전라남도 목포시 용당로 339, 1층 (용해동)",,
전라남도,목포시,율전약국,전라남도 목포시 부흥로 31 (옥암동),,
전라남도,목포시,전약국,전라남도 목포시 옥암로 101 (상동),,
전라남도,목포시,옵티마현대약국,전라남도 목포시 섶나루길 126 (상동),,
전라남도,목포시,지성약국,전라남도 목포시 옥암로 129 (상동),,
전라남도,목포시,샘터약국,전라남도 목포시 영산로 304-1 (용당동),,
전라남도,목포시,목포하당종로약국,전라남도 목포시 신흥로 8 (상동),,
전라남도,목포시,포미약국,전라남도 목포시 용해지구로 12 (용해동),,
전라남도,목포시,유한약국,전라남도 목포시 청호로 176 (산정동),,
전라남도,목포시,태양약국,전라남도 목포시 옥암로 187 (석현동),,
전라남도,목포시,하당금호약국,전라남도 목포시 백년대로 295 (상동),,
전라남도,목포시,정문약국,전라남도 목포시 영산로 475 (상동),,
전라남도,목포시,한미약국,전라남도 목포시 백년대로307번길 7 (상동),,
전라남도,목포시,이화약국,전라남도 목포시 녹색로 41 (석현동),,
전라남도,목포시,한사랑약국,"전라남도 목포시 백년대로 391, 1층 (옥암동)",,
전라남도,목포시,로뎀온누리약국,전라남도 목포시 청호로 154 (산정동),,
전라남도,목포시,독일약국,전라남도 목포시 산정로 145 (산정동),,
전라남도,목포시,예사랑약국,전라남도 목포시 용당로 40 (산정동),,
전라남도,목포시,연세약국,전라남도 목포시 원산중앙로 59 (산정동),,
전라남도,목포시,드림약국,전라남도 목포시 영산로 623 (석현동),,
전라남도,목포시,미래약국,전라남도 목포시 상리로1번길 13 (상동),,
전라남도,목포시,이수약국,전라남도 목포시 중화길 13 (상동),,
전라남도,목포시,소망약국,전라남도 목포시 용당로 53 (산정동),,
전라남도,목포시,아이팜약국,전라남도 목포시 백년대로 420 (옥암동),,
전라남도,목포시,유달약국,전라남도 목포시 하당로153번길 4 (상동),,
전라남도,목포시,금호온누리약국,전라남도 목포시 영산로 519 (상동),,
전라남도,목포시,종로프라자약국,전라남도 목포시 영산로 515 (상동),,
전라남도,목포시,금호약국(역전),전라남도 목포시 영산로 89 (명륜동),,
전라남도,목포시,실로암약국,전라남도 목포시 부흥로 80 (옥암동),,
전라남도,목포시,건강약국,전라남도 목포시 중화길 16 (상동),,
전라남도,목포시,초당약국,전라남도 목포시 영산로 251 (용당동),,
전라남도,목포시,튼튼약국,전라남도 목포시 산정로 146 (산정동),,
전라남도,목포시,햇빛약국,전라남도 목포시 북항로 54-10 (죽교동),,
전라남도,목포시,도원약국,전라남도 목포시 호남로64번길 27 (대안동),,
전라남도,목포시,하나로약국,전라남도 목포시 원산중앙로 46 (산정동),,
전라남도,목포시,서울약국,전라남도 목포시 용당로 232 (용당동),,
전라남도,목포시,혜민약국,전라남도 목포시 영산로 249 (용당동),,
전라남도,목포시,천지약국,전라남도 목포시 수강로12번길 12-3 (행복동1가),,
전라남도,목포시,굿모닝약국,전라남도 목포시 영산로 250-1 (용당동),,
전라남도,목포시,메디팜태평양약국,전라남도 목포시 영산로 320 (용당동),,
전라남도,목포시,시온약국,전라남도 목포시 영산로 335 (용당동),,
전라남도,목포시,하나약국,전라남도 목포시 청호로 8 (호남동),,
전라남도,목포시,비전약국,전라남도 목포시 영산로 246 (산정동),,
전라남도,목포시,한빛약국,전라남도 목포시 영산로 343-1 (용당동),,
전라남도,목포시,종로약국,전라남도 목포시 고하대로 730 (산정동),,
전라남도,목포시,남도온누리약국,전라남도 목포시 정의로 4-10 (옥암동),,
전라남도,목포시,하당약국,전라남도 목포시 신흥로 32 (상동),,
전라남도,목포시,송광약국,전라남도 목포시 서산로 16 (해안동4가),,
전라남도,목포시,메디팜현대약국,"전라남도 목포시 부흥로 86, 102호 (옥암동, 부영2차아파트 상가)",,
전라남도,목포시,바다약국,전라남도 목포시 백년대로 291 (상동),,
전라남도,목포시,늘푸른약국,전라남도 목포시 용해지구로 85 (연산동),,
전라남도,목포시,세신약국,전라남도 목포시 용당로 159 (용당동),,
전라남도,목포시,메디팜보령약국,전라남도 목포시 상리로1번길 23 (상동),,
전라남도,목포시,플러스약국,전라남도 목포시 용해지구로 11 (용해동),,
전라남도,목포시,메디팜정원약국,전라남도 목포시 산정로 275-1 (연산동),,
전라남도,목포시,조약국,전라남도 목포시 양을로 145 (산정동),,
전라남도,목포시,삼성약국,전라남도 목포시 자유로 41 (산정동),,
전라남도,목포시,구세약국,전라남도 목포시 영산로 485 (상동),,
전라남도,목포시,호남약국,전라남도 목포시 영산로 95-2 (명륜동),,
전라남도,목포시,대웅약국,전라남도 목포시 옥암로 106-1 (옥암동),,
전라남도,목포시,소명약국,"전라남도 목포시 비파로124번길 1, 1층 101호 (상동)",,
전라남도,목포시,메디팜명문약국,전라남도 목포시 이로로 14 (용해동),,
전라남도,목포시,목포광주약국,전라남도 목포시 해안로229번길 2-1 (영해동1가),,
전라남도,목포시,소화약국,전라남도 목포시 삼학로 30 (호남동),,
